DateTime,Junction,Vehicles,ID,temperature_c,humidity_pct,precipitation_mm,rain_mm,wind_speed_kmh,is_holiday,is_event_day,is_special_day,hour,day_of_week,is_weekend,month,is_rush_hour
2015-11-01 00:00:00,1,15,20151101001,20.2,94.0,0.0,0.0,6.8,1,0,1,0,6,1,11,0
2015-11-01 00:00:00,2,6,20151101002,20.2,94.0,0.0,0.0,6.8,1,0,1,0,6,1,11,0
2015-11-01 00:00:00,3,9,20151101003,20.2,94.0,0.0,0.0,6.8,1,0,1,0,6,1,11,0
2015-11-01 01:00:00,3,7,20151101013,20.2,94.0,0.0,0.0,6.8,1,0,1,1,6,1,11,0
2015-11-01 01:00:00,1,13,20151101011,20.2,94.0,0.0,0.0,6.8,1,0,1,1,6,1,11,0
2015-11-01 01:00:00,2,6,20151101012,20.2,94.0,0.0,0.0,6.8,1,0,1,1,6,1,11,0
2015-11-01 02:00:00,2,5,20151101022,20.2,94.0,0.0,0.0,6.8,1,0,1,2,6,1,11,0
2015-11-01 02:00:00,1,10,20151101021,20.2,94.0,0.0,0.0,6.8,1,0,1,2,6,1,11,0
2015-11-01 02:00:00,3,5,20151101023,20.2,94.0,0.0,0.0,6.8,1,0,1,2,6,1,11,0
2015-11-01 03:00:00,2,6,20151101032,20.2,94.0,0.0,0.0,6.8,1,0,1,3,6,1,11,0
2015-11-01 03:00:00,3,1,20151101033,20.2,94.0,0.0,0.0,6.8,1,0,1,3,6,1,11,0
2015-11-01 03:00:00,1,7,20151101031,20.2,94.0,0.0,0.0,6.8,1,0,1,3,6,1,11,0
2015-11-01 04:00:00,2,7,20151101042,20.2,94.0,0.0,0.0,6.8,1,0,1,4,6,1,11,0
2015-11-01 04:00:00,3,2,20151101043,20.2,94.0,0.0,0.0,6.8,1,0,1,4,6,1,11,0
2015-11-01 04:00:00,1,9,20151101041,20.2,94.0,0.0,0.0,6.8,1,0,1,4,6,1,11,0
2015-11-01 05:00:00,2,2,20151101052,20.2,94.0,0.0,0.0,6.8,1,0,1,5,6,1,11,0
2015-11-01 05:00:00,1,6,20151101051,20.2,94.0,0.0,0.0,6.8,1,0,1,5,6,1,11,0
2015-11-01 05:00:00,3,2,20151101053,20.2,94.0,0.0,0.0,6.8,1,0,1,5,6,1,11,0
2015-11-01 06:00:00,3,3,20151101063,20.2,95.0,0.0,0.0,6.9,1,0,1,6,6,1,11,0
2015-11-01 06:00:00,1,9,20151101061,20.2,95.0,0.0,0.0,6.9,1,0,1,6,6,1,11,0
2015-11-01 06:00:00,2,4,20151101062,20.2,95.0,0.0,0.0,6.9,1,0,1,6,6,1,11,0
2015-11-01 07:00:00,1,8,20151101071,20.6,91.0,0.0,0.0,8.5,1,0,1,7,6,1,11,0
2015-11-01 07:00:00,2,4,20151101072,20.6,91.0,0.0,0.0,8.5,1,0,1,7,6,1,11,0
2015-11-01 07:00:00,3,4,20151101073,20.6,91.0,0.0,0.0,8.5,1,0,1,7,6,1,11,0
2015-11-01 08:00:00,3,3,20151101083,22.0,82.0,0.0,0.0,10.4,1,0,1,8,6,1,11,1
